,link,title,date,text,source
0,https://www.rbc.ru/economics/28/03/2024/6603e7959a79477b8b9abdb2,Во ВШЭ увидели снижение вклада человеческого капитала в экономикуРоссии,28.03.2024,"В последние несколько лет человеческий капитал вносит отрицательный вклад в динамику экономического развития России— в частности, в пандемические 2020 и 2021 годы он «забрал» у ВВП 0,4 и 0,6 процентного пункта (п.п.) роста соответственно. Строгих расчетов по 2022–2023 годам пока нет, но из-за трансформации российской экономики дальнейшие перспективы человеческого капитала находятся под риском. К таким выводам пришла ведущий эксперт центра развития НИУ ВШЭ Дарья Авдеева в статье «Вклад человеческого капитала в рост российской экономики», опубликованной в свежем номере «Экономического журнала» НИУ ВШЭ.Как менялся вклад человеческого капиталаВ статье проанализированы ключевые процессы, которые формировали динамику человеческого капитала и его эффект на экономику России в 2000–2021 годах. Он влияет на экономический рост напрямую, через повышение производительности работников, а кроме того, способствует распространению новых технологий и знаний, используемых в производстве, указано в исследовании.В современных концепциях экономистов человеческий капитал, как правило, включает в себя знания, навыки, опыт и здоровье. В работе Авдеевой использован собственный индекс человеческого капитала в России, отражающий производительность работников, связанную с уровнем образования и состоянием здоровья.По оценке Авдеевой, в 2000–2003 годах вклад человеческого капитала в российский экономический рост составлял в среднем отрицательные 0,2 п.п. в год. «Хотя повышение уровня образования работников и обеспечивало прирост человеческого капитала, ухудшавшиеся показатели здоровья населения оказывали существенное негативное влияние на его динамику»,— характеризует Авдеева этот период. Негативные тренды в сфере здоровья были связаны прежде всего с последствиями сворачивания антиалкогольной кампании второй половины 1980-х и экономического кризиса 1990-х, уточняет она.В дальнейшем тренд изменился, и большую часть рассматриваемого временного отрезка (2004–2017 годы) человеческий капитал оказывал положительное влияние на экономическую динамику, следует из статьи. «В это время повышение уровней образования и улучшение состояния здоровья работников обеспечивали порядка +0,6 п.п. роста ежегодно»,— отмечается в исследовании. В совокупности в 2004–2017 годах человеческий капитал обеспечил до 15% прироста ВВП, указано в статье.Наибольший позитивный вклад в экономический рост, по расчетам Авдеевой, человеческий капитал внес во второй половине 2000-х: так, в 2007 году он обеспечил прирост в 1,3 п.п., в 2008-м положительный эффект оценивался в 1 п.п., а в 2010-м— в 0,8 п.п. Высокие показатели этих лет объясняются эффектом низкой базы, указано в статье. «Снятие административных ограничений плановой экономики выявило существенный нереализованный спрос на профессиональное обучение. А высокий потенциал для улучшения здоровья населения возник за счет длительного периода роста смертности после череды кризисов 1990-х годов»,— говорится в статье.Кроме того, именно на 2000–2008 годы пришелся существенный рост числа занятых в России— с 65,1 млн до 71 млн человек. За счет этого увеличился совокупный человеческий капитал, задействованный в производстве, а приток на рынок труда младших возрастных групп обеспечивал его качественное обновление, отмечает Авдеева.Однако в 2010-х годах темпы прироста человеческого капитала начали замедляться. Если в 2006–2009 годах среднегодовой его вклад в рост ВВП составлял плюс 0,9 п.п., то в 2010–2013 годах— уже 0,5 п.п., а в 2014–2017 годах— 0,4 п.п., указано в статье.«В 2010-е годы существенно снизился приток на рынок труда молодых поколений— а значит, замедлились и темпы обновления человеческого капитала. <...> Не создало дополнительных возможностей и начавшееся в 2014 году снижение доходов населения»,— указывает Авдеева.Рубен Ениколопов                     Нечеловеческий капитал: что теряет наука от политики самоизоляции России                                    Мнение Методика исследованияДля оценки человеческого капитала в статье использовался индексв экспоненциальной форме (что характерно для эконометрических работ), учитывающий текущие среднюю продолжительность образования занятых и коэффициент дожития для возраста 15–60 лет (вероятность 15-летних дожить до 60-летнего возраста при сохранении текущих коэффициентов смертности), а также имеющиеся в других исследованиях оценки отдачи от дополнительного года образования и увеличения коэффициента дожития. Оценки продолжительности образования и коэффициента дожития основывались преимущественно на данных Росстата.Такой индекс, указано в статье, показывает, в какой степени текущие уровни образования и здоровья работников делают их более производительными по сравнению с неквалифицированным работником, состояние здоровья которого не позволит ему дожить до 60 лет. Соответственно, совокупный человеческий капитал оценивался как произведение индекса человеческого капитала на затраты труда в экономике.В работе Авдеевой предпочтение отдано показателям, характеризующим производительные качества работников, без учета других категорий населения, что во многом было обусловлено доступностью данных. Кроме того, из-за ограниченности данных пока невозможно учесть в расчетах когнитивные навыки и опыт работников— другие значимые формы человеческого капитала, следует из статьи.Непосредственно вклад человеческого капитала в экономический рост рассчитывался с помощью так называемой производственной функции Кобба— Дугласа, отражающей зависимость объема выпуска от затрат труда и капитала.Почему влияние человеческого капитала ушло в минусВ 2018–2019 годах среднегодовой вклад человеческого капитала в экономический рост приблизился к нулевому (не выше 0,1 п.п.), оценила автор. Приток молодых поколений на рынок труда существенно снизился из-за объективных демографических факторов, а возможности для инвестиций в образование и здоровье сжались из-за неблагоприятной динамики доходов населения, констатирует она.В пандемические 2020–2021 годы вклад человеческого капитала и вовсе стал отрицательным— в среднем минус 0,5 п.п. Прежде всего это произошло из-за существенного ухудшения здоровья населения и сверхсмертности, указано в исследовании.«Потери, связанные с преждевременными смертями,— их число, по оценкам ВОЗ [Всемирной организации здравоохранения, для России], составило за 2020–2021 годы почти 300 тыс. человек в возрасте до 65 лет— означают не только дальнейшее снижение числа потенциальных работников, но и безвозвратно утраченные знания и навыки, которыми они обладали»,— поясняет Авдеева.                    Смертность в России на фоне пандемии стала рекордной за десять лет                                    Общество Кроме того, пандемия негативно сказалась на процессах накопления человеческого капитала. Со ссылкой на данные Всемирного банка автор отмечает, что «дети школьного возраста мало чему научились за время дистанционного обучения». Существенные ограничения также возникли для инвестиций в здоровье и раннее развитие детей дошкольного возраста. «Поскольку в детстве формируется основа для дальнейшего накопления человеческого капитала, последствия этих негативных тенденций проявятся в будущем»,— отмечается в статье.По данным Росстата, в 2020 году ВВП России снизился на 2,7%, а в 2021-м— вырос на 5,9%.                    Эксперт ВШЭ предупредил о риске ухода в «экономику вчерашнего дня»                                    Экономика Почему перспективы с 2022 года под вопросомНачавшаяся в 2022 году трансформация российской экономики еще острее ставит вопрос о перспективах дальнейшей динамики человеческого капитала, утверждается в исследовании. Автор выделяет ряд рисков, а именно:Часть знаний и навыков, полученных работниками до 2022 года, станет неактуальной из-за структурной перестройки экономики и упрощения технологий, прогнозируется в исследовании.Можно с уверенностью предположить, что запасы человеческого капитала в России уже снизились под влиянием последних волн эмиграции, считает Авдеева.Системы образования и здравоохранения столкнулись с новыми ограничениями, которые будут препятствовать дальнейшему накоплению человеческого капитала. Впрочем, ухудшение показателей здоровья на фоне пандемии создало эффект низкой базы, который будет маскировать влияние негативных факторов последующих лет, указано в статье.                    В МГУ оценили пользу для экономики от трудоустройства инвалидов                                    Экономика Что говорят другие экспертыПодход, предложенный в статье, создает впечатление, что в те годы, когда в России наблюдалось снижение продолжительности жизни, человеческий капитал вносил отрицательный вклад в развитие экономики, и наоборот, отмечает главный макроэкономист УК «Ингосстрах-Инвестиции» Антон Прокудин. По данным Росстата, в 2020 году ожидаемая продолжительность жизни снизилась почти на два года, до 71,5 года, а в 2021-м продолжила сокращение и упала до 70,1 года (при этом по итогам 2023 года показатель достиг 73,5 года).«На самом деле связь несколько сложнее: рост продолжительности жизни до 65–70 лет позитивен для выпуска продукции, так как подразумевает увеличение доли наиболее эффективной трудовой группы (40+). В тоже время увеличение продолжительности жизни свыше 70 лет выявляет обратный эффект— группа 65+ состоит в основном из неактивного населения, которое ничего не производит»,— отметил эксперт.Выводы коллег из НИУ ВШЭ основаны на простых формальных индикаторах и потому во многом условны, категоричен профессор Финансового университета при правительстве Александр Сафонов. По его мнению, качество человеческого капитала в России и его вклад в ВВП в ближайшие годы будут расти.«На уровне главы государства есть понимание, что от качества человеческого капитала зависит развитие страны. Кроме того, уже сейчас видно, что у рынка труда растет запрос на «сложные» профессии, увеличивается число бюджетных мест на высокотехнологичных специальностях, позитивную динамику демонстрирует и ожидаемая продолжительность жизни»,— сказал эксперт.В ходе послания к Федеральному собранию в феврале 2024 года президент Владимир Путин назвал нехватку квалифицированных кадров одним из ключевых рисков замедления темпов роста экономики России. К 2030 году ожидаемая продолжительность жизни должна составить не менее 78 лет, а затем предстоит выйти на уровень более 80 лет, заявил Путин в послании.                    Бизнес назвал способы увеличить производительность при дефиците кадров                                    Экономика В дальнейшем человеческий капитал по предложенным автором статьи формальным метрикам будет двигаться неоднозначно, полагает Прокудин. С одной стороны, продолжительность жизни действительно может подрасти (в частности, она уже увеличивалась и в 2022-м, и в 2023 году), с другой— формальный уровень образованности будет снижаться, считает он.«Во-первых, на фоне удорожания платного образования и сокращения числа бюджетных мест в последние десятилетия получить образование «чтобы было» становится все сложнее. Во-вторых, все больше граждан выбирают получение среднего профессионального образования вместо высшего»,— говорит эксперт.При этом в действительности это позитивная тенденция, считает Прокудин: полученное гражданами образование будет чаще находить практическое применение, а значит, будет обеспечиваться более эффективное использование кадрового потенциала.",RBC_economics
1,https://www.rbc.ru/economics/27/03/2024/660451999a7947e1d346ad67,Умер нобелевский лауреат и автор книги «Думай медленно… решай быстро»,27.03.2024,"Лауреат Нобелевской премии по экономике Даниэль Канеман умер в возрасте 90 лет, сообщила The Washington Post его приемная дочь Дебора Трейсман.Ученый был одним из основоположников поведенческой экономики, автором теории перспектив, которая описывает принятие решений в условиях неопределенности и риска.Канеман был известен своей критикой понятия Homo economicus («экономического человека»). Оно предполагает, что человек действует разумно, всегда стремится к максимизации получаемой прибыли и делает выбор исходя из экономических результатов. Впервые парадигма была представлена у шотландского философа Джона Милля в XIX веке, впрочем, даже тогда эта концепция была скорее теоретической.По мнению Канемана, ошибочные решения часто принимаются потому, что люди «слишком подвержены влиянию недавних событий» и из-за этого делают поспешные выводы. Он называл это когнитивное искажение, при котором общее впечатление от чего-либо влияет на восприятие частных случаев, эффектом ореола. Одно из возможных последствий этого эффекта: люди, которые обмениваются ощущениями, потом будут делать одинаковые ошибки.Канеман приводил такой пример: если вам нравится какой-то человек и его имя всплывает в разговорах о благотворительности, то вы по умолчанию думаете, что он щедрый, хотя никаких свидетельств этому нет. Все дело в том, что на восприятие другого человека влияет сила первых впечатлений.«Многие люди слишком самоуверенны, склонны чересчур доверять своей интуиции»,— писал он в своем психологическом бестселлере «Думай медленно… решай быстро», который вышел в 2011 году (эта книга переведена на десятки языков, а ее суммарный тираж превышает 2 млн экземпляров).Канеман родился в марте 1934 года в Тель-Авиве (тогда находился на территории британской Подмандатной Палестины), провел детство в Париже, пережил немецкую оккупацию и вернулся в Палестину в 1946 году.                    Умер Даниэль Канеман. О чем ученый предупреждал мир накануне потрясений                                    Pro В 1954 году получил степень бакалавра математики и психологии в Еврейском университете в Иерусалиме, затем работал в психологическом отделе израильской армии. Позже преподавал в родном университете, а в 1958 году переехал в США, где получил докторскую степень по психологии в Калифорнийском университете в Беркли.В 2002 году Канеман получил Нобелевскую премию по экономике «за интеграцию результатов психологических исследований в экономическую науку, особенно в том, что касается человеческих суждений и принятия решений в условиях неопределенности». Он разделил ее с американским экономистом Верноном Смитом.В 2013 году Канеман получил медаль Свободы, высшую гражданскую награду США, от Барака Обамы, который тогда занимал пост президента США.",RBC_economics
2,https://www.rbc.ru/economics/26/03/2024/66014d649a79476bc9717e3e,Росстат раскрыл среднее число детей на одну женщину в России,26.03.2024,"По итогам 2023 года суммарный коэффициент рождаемости в России (среднее число детей на одну женщину) составил 1,41. Это следует из предварительной оценки Росстата, с которой ознакомился РБК. По сравнению с 2022 годом (1,42) показатель незначительно снизился, но по итогам 2023 года стал минимальным за 17 лет. В последний раз более низкий коэффициент рождаемости фиксировался в 2006 году (1,31, а в 2007 году было ровно столькоже, сколько в 2022-м). Спад последних лет эксперты объясняли тем, что в активный детородный возраст вступало поколение женщин 1990-х годов— гораздо менее многочисленное, чем поколение 1980-х.Вместе с тем число третьих и последующих детей в расчете на одну женщину, напротив, выросло.На рождаемость в целом влияет совокупность факторов: численность населения в репродуктивном возрасте, уровень доходов, социокультурные и демографические установки, меры государственной поддержки, ситуативные факторы, указали РБК в пресс-службе Минтруда, отметив, что снижение суммарного коэффициента рождаемости в 2023 году замедлилось, а тенденция к росту третьих и последующих рождений остается устойчивой на протяжении последних лет (с 2016 года), в том числе на фоне действующих мер господдержки.Подробнее о картине рождаемости в России и дальнейших прогнозах— в материале РБК.Что это за показательСуммарный коэффициент рождаемости показывает, сколько в среднем родилабы одна женщина на протяжении всего репродуктивного периода (то есть от 15 до 50 лет) при сохранении в каждой возрастной группе по однолетним возрастам (15–49) уровня рождаемости того года, для которого вычисляется показатель. Он характеризует средний уровень рождаемости в данном календарном периоде.Коэффициент не зависит от возрастной структуры в том смысле, что отражает только интенсивность рождений в детородных возрастах, не учитывая малочисленность или многочисленность поколений женщин. Ряд экспертов подвергали критике этот показатель. Например, специалисты Венского института демографии писали, что коэффициент не учитывает ни распределение женщин по количеству рожденных детей, ни длину интервала после первого рождения, а это определяющие факторы для репродуктивного поведения. Поэтому излишняя опора на суммарный коэффициент рождаемости текущего периода может приводить к ошибочной политике, предупреждали эти эксперты.Суммарный коэффициент рождаемости в России достигал максимума за новейшую историю в 2015 году (1,78) и с тех пор демонстрировал тенденцию к снижению, следует из данных Росстата. В пандемическом 2020-м он составил 1,51. В 1990-е годы на фоне «демографической ямы» показатель сокращался до 1,2–1,3, а абсолютный антирекорд был зафиксирован в 1999 году (1,16).Значения коэффициента рождаемости традиционно сильно различаются в зависимости от региона. Так, наибольшие его значения были зафиксированы в Чеченской Республике (2,66), Туве (2,44), Республике Алтай (2,03). Наименьшие значения отмечены в Ленинградской области и Севастополе— там коэффициент составил меньше одного ребенка на женщину (0,88 и 0,98 соответственно).Благодаря тому что материнский капитал в России стали выдавать на первого ребенка, снижение рождаемости замедлилось, считает вице-премьер Татьяна Голикова. «Было принято решение перенести основную сумму на первые рождения и оставить еще дополнительную сумму на вторые рождения. Здесь мы получили два эффекта. Первый— замедлилось снижение рождаемости. Второй— у нас продолжился рост третьих рождений»,— заявила она в начале марта.                    Эксперты РАН описали «портреты» идущих на аборт женщин                                    Экономика По сравнению с 2022 годом показатель в 2023-м сократился очень незначительно— скорее даже можно говорить о его стабилизации, оптимистичен демограф Игорь Ефремов. Поскольку коэффициент по определению рассчитывается за один год (в данном случае 2023-й), а не за весь детородный период жизни женщины, на него влияют как объективные факторы (доходы, меры государственной политики, изменение репродуктивной культуры россиян), так и субъективные, когда календарь рождений может меняться под воздействием конкретных событий, отмечает он.Результат 2023 года зафиксирован на фоне исторического минимума по числу родившихся: в абсолютном выражении число младенцев в 2023 году составило 1,265 млн человек, став минимальным с 1999 года.«В 2023 году главным фактором [сдерживающим снижение коэффициента рождаемости] была динамика доходов населения и связанное с ней материальное благополучие семей (в том числе возможность улучшить жилищные условия). Также большое влияние оказывают щедрость и эффективность уже существующих и новых государственных мер поддержки семей при рождении ребенка»,— полагает Ефремов.По данным Росстата, реальные располагаемые доходы населения (доходы за вычетом обязательных платежей, скорректированные на уровень инфляции) в 2023 году увеличились на 5,4% после снижения на 1% годом ранее. При этом с 2023 года заработало единое пособие по нуждаемости для семей с детьми и беременных женщин, что внесло большой вклад в снижение уровня бедности до исторического минимума, говорили РБК эксперты. По данным Минтруда, этой мерой поддержки уже воспользовались родители порядка 11 млн детей и почти 400 тыс. беременных.Исходя из определения суммарного коэффициента рождаемости, один и тотже прирост коэффициента у молодых и более старших поколений даст разный абсолютный прирост рождений в числах, поскольку более старшие поколения многочисленнее, отмечает Ефремов. «В том числе и поэтому, если государство заинтересовано в рождении большего числа детей, гораздо результативнее концентрировать усилия на самых многочисленных поколениях»,— указывает он.РБК направил запрос в Минздрав.Что происходит с рождениями третьих и последующих детейРосстат также раскрыл суммарный коэффициент рождаемости по очередности рождений. Так, по предварительной оценке, число вторых детей в расчете на одну женщину в 2023 году снизилось— до 0,44 после 0,46 годом ранее. В тоже время коэффициент рождаемости третьих и последующих детей, напротив, вырос— с 0,36 в 2022 году до 0,37 в 2023-м. Таким образом, он вернулся на уровень 2021 года, следует из данных статслужбы.В России растет число семей с тремя и более детьми, заявляла вице-премьер Голикова. По данным Минтруда, за последние пять лет число многодетных семей увеличилось на 27%, почти до 2,4 млн, количествоже детей в таких семьях возросло на 30% и составило 7,7 млн. «Это в том числе и результат последовательной государственной политики, направленной на поддержку семей с детьми, в том числе многодетных семей»,— указали в пресс-службе ведомства. Например, выплатой в размере 450 тыс. руб. на погашение ипотеки при рождении третьего ребенка воспользовались 697 тыс. семей.В предыдущие десятилетия рождаемость третьих и последующих детей в России была чрезвычайно низкая, а сейчас она возвращается к нормальному состоянию, считает Ефремов, отмечая, что рост на 0,01 ребенка на женщину нельзя назвать большим. По данным Росстата, с 2020 года коэффициент рождаемости третьих и последующих детей колебался в диапазоне 0,36–0,37.                    Эксперты объяснили, почему больше всего детей в России рождается летом                                    Экономика Во многом на рост числа многодетных семей и суммарного коэффициента рождаемости третьих и последующих детей повлияли именно меры господдержки, полагает руководитель комиссии Госсовета по направлению «Социальная политика», губернатор Новгородской области Андрей Никитин. Ведь с увеличением количества детей в семье растет и объем помощи.«Сейчас не просто престижно быть многодетными родителями, но финансово выгодно. Потому что государственная поддержка для таких семей сопоставима со средней заработной платой по региону и даже выше»,— сказал он РБК.Если говорить о рождаемости вторых детей, то она продолжила сокращаться, вероятно, из-за того, что львиная доля материальной поддержки в рамках демографической политики перешла от вторых детей к первенцам, говорит Ефремов. С 2020 года материнский капитал стали выдавать и на первого ребенка, и этот подход неоднократно подвергался критике в экспертной среде.                    Эксперты предложили альтернативы программе маткапитала                                    Экономика В чем может быть рецепт демографического «прорыва»По данным базового сценария демографического прогноза Росстата, в 2024 году суммарный коэффициент рождаемости в России снизится до 1,32, а в 2025-м вырастет до 1,33 ребенка на женщину. К концу прогнозного периода (до 2045 года) он должен вырасти до 1,66.Для минимального воспроизводства населения страны коэффициент рождаемости должен находиться в диапазоне 2–2,15 ребенка на женщину, заявляли РБК в Росстате. А для того, чтобы население увеличивалось за счет рождаемости, необходимо, чтобы показатель был выше 2,17, оценивали в статслужбе.Добиться таких показателей реально, полагает Никитин. Для этого нужен комплекс мер, направленных на профилактику абортов, поддержку беременных женщин в трудной жизненной ситуации, стимулирование рождений в более раннем возрасте. Как ранее заявляла Голикова, сегодня в России возраст материнского дебюта составляет 26 лет, однако «самый правильный возраст» для этого— 24 года.В России есть значительный потенциал роста рождаемости, и он сосредоточен преимущественно в рождениях вторых и последующих детей, говорит Ефремов. «Думаю, что для демографического «прорыва» нужно концентрировать меры поддержки семей именно на этом направлении»,— считает он.При этом некоторые существующие меры поддержки многодетности весьма эффективны с точки зрения роста рождаемости (например, погашение части ипотеки (на 450 тыс. руб.) при рождении третьего ребенка), отмечает Ефремов. Подобных решений должно быть больше, и они должны своевременно и справедливо индексироваться.",RBC_economics
3,https://www.rbc.ru/economics/22/03/2024/65fda5709a7947c581acaa61,Росстат уточнил оценку численности населения России,22.03.2024,"Численность постоянного населения России на 1 января 2024 года составила 146,15 млн человек (146 150 789), следует из обновленной оценки Росстата. По сравнению с оперативными данными, опубликованными в январе, показатель сократился на 52,8 тыс. человек. В результате, по уточненным данным, численность населения в 2023 году снизилась на 296,6 тыс. человек. Согласно предварительной оценке, сокращение равнялось 243,8 тыс. человек, а в конце февраля Росстат сообщал в докладе о социально-экономическом положении о сокращении на 290,6 тыс.Из данных Росстата следует, что в 2023 году численность населения снижалась медленнее, чем в 2022 году, когда сокращение составило 532,6 тыс. Кроме того, обновленная оценка Росстата оказалась оптимистичнее базового варианта его демографического прогноза (подготовлен осенью 2023 года), которым предусматривалось снижение численности населения в 2023 году на 368 тыс., до 146,08 млн человек.Указанные данные не учитывают статистическую информацию по Донецкой и Луганской народным республикам, а также Запорожской и Херсонской областям.Динамика численности граждан складывается из естественного прироста/убыли (количество родившихся минус количество умерших) и чистого притока/оттока международных мигрантов. Согласно обновленной оценке Росстата, естественная убыль населения в 2023 году составила 500,3 тыс. человек (против 594,6 тыс. в 2022 году), а миграционный прирост— 203,6 тыс. человек (против 61,9 тыс. годом ранее).Естественная убыль населения в 2023 году сократилась по сравнению с 2022 годом из-за того, что в первые три месяца 2022-го большой вклад в смертность вносила пандемия COVID-19, пояснял РБК демограф Игорь Ефремов. Миграционный приростже изменился из-за эффекта низкой базы 2022 года, которая была вызвана «статистическим артефактом»— формальным переносом окончания сроков длительных регистраций (и, соответственно, регистрации выбытия из страны) иностранцев в России с ковидного 2021 года на 2022 год из-за закрытых в 2021 году границ (по указу президента). В итоге смертность в России в 2023 году снизилась на 7,6% при снижении рождаемости на 3,2%, сообщал Росстат в феврале.Среди регионов наибольшее сокращение численности населения в 2023 году в абсолютных цифрах, согласно обновленным данным, фиксировалось в Нижегородской области (минус 21,5 тыс. человек), Кемеровской области (минус 20,6 тыс.), Саратовской области (минус 19,8 тыс.). Прирост наблюдался в Московской области (плюс 59,5 тыс.), Москве (плюс 45,6 тыс.), Тюменской области (плюс 39,6 тыс.).",RBC_economics
